"FCAC_RN,C,4","ORGBASE_RN,C,4","ANK_RN,C,4","CATALOG_RN,C,4","FCAC_PREFI,C,4","FCAC_NUM,C,10","POST_RN,C,4","SUBDIV_RN,C,4","VIDISP_RN,C,4","ISMAINISP,L","ISCOMBISP,L","ISORDISP,L","TIPDOL_RN,C,4","KATPER_RN,C,4","ORDERNUM,C,15","ORDERDATE,D","STARTDATE,D","ENDDATE,D","NOTE,M","MARK1_RN,C,4","MARK2_RN,C,4","MARK3_RN,C,4","MARK4_RN,C,4","MARK5_RN,C,4","SDOC_RN,C,4","SDOC_NUM,C,10","SDOC_DATE,D","SDOCORG_RN,C,4","EDOC_RN,C,4","EDOC_NUM,C,10","EDOC_DATE,D","EDOCORG_RN,C,4"
00Qd,,00Nr,00IZ,,       729,008O,001?,0005,??????,????,????,004m,0003,,,01.09.2007,08.08.2011,,,,,,,,,,,0009,?-417,15.08.2011,
00Qf,,00M?,00IZ,,       731,,000e,0005,??????,????,????,002a,000B,,,01.09.2007,16.06.2008,,,,,,,,,,,,,,
00Qg,,00N4,00IZ,,       732,00A?,001?,0005,??????,????,????,004?,0003,85/?,27.03.2007,01.04.2007,31.10.2013,,,,,,,,,,,0009,?-804,29.10.2013,
00Qi,,00L?,00w?,,       733,006D,001m,0005,??????,????,????,003?,0001,?-209,02.07.2007,02.07.2007,31.12.8888,,,,,,,,,,,,,,
00Qj,,002V,00w?,,       734,006G,001m,0005,??????,????,????,002F,0002,,,01.09.2007,04.02.2013,,,,,,,,,,,0009,?-90,01.02.2013,
00Qk,,00N?,00w?,,       735,006G,001m,0005,??????,????,????,002F,0002,60/?,07.05.2002,08.05.2002,31.12.8888,,,,,,,,,,,,,,
00Ql,,00M?,00w?,,       736,006F,001m,0005,??????,????,????,002D,0002,,,01.09.2007,20.08.2010,,,,,,,,,,,0009,?-419,18.08.2010,
00Qm,,00M6,00w?,,       737,006F,001m,0005,??????,????,????,002D,0002,,,01.09.2007,22.07.2011,,,,,,,,,,,0009,341/?,12.07.2011,
00Qn,,00Ns,00w?,,       738,006F,001m,0005,??????,????,????,002D,0002,,,01.09.2007,26.03.2012,,,,,,,,,,,0009,?-238,26.03.2012,
00Qo,,00My,00w?,,       739,006F,001m,0005,??????,????,????,002D,0002,,,01.09.2007,21.09.2011,,,,,,,,,,,0009,?-477,09.09.2011,
00Qs,,000q,00Gk,,       740,007A,0017,0005,??????,????,????,0025,0002,?-17,19.12.1995,13.12.1995,31.12.8888,,,,,,,,,,,,,,
