"FCAC_RN,C,4","ORGBASE_RN,C,4","ANK_RN,C,4","CATALOG_RN,C,4","FCAC_PREFI,C,4","FCAC_NUM,C,10","POST_RN,C,4","SUBDIV_RN,C,4","VIDISP_RN,C,4","ISMAINISP,L","ISCOMBISP,L","ISORDISP,L","TIPDOL_RN,C,4","KATPER_RN,C,4","ORDERNUM,C,15","ORDERDATE,D","STARTDATE,D","ENDDATE,D","NOTE,M","MARK1_RN,C,4","MARK2_RN,C,4","MARK3_RN,C,4","MARK4_RN,C,4","MARK5_RN,C,4","SDOC_RN,C,4","SDOC_NUM,C,10","SDOC_DATE,D","SDOCORG_RN,C,4","EDOC_RN,C,4","EDOC_NUM,C,10","EDOC_DATE,D","EDOCORG_RN,C,4"
00?v,,00f5,00IY,?,      3112,006V,000L,0003,????,????,????,002D,0002,?-622,20.08.2013,15.08.2013,01.09.2013,,,,,,,,,,,0009,?-638,26.08.2013,
00?w,,00dB,00J8,?,      3113,006?,000x,0003,????,????,????,001G,0001,?-622,20.08.2013,27.08.2013,29.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00?x,,00dA,00J8,?,      3114,006?,000x,0003,????,????,????,001G,0001,?-622,20.08.2013,27.08.2013,29.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00?y,,00Q?,00J8,?,      3115,006?,000x,0003,????,????,????,001G,0001,?-622,20.08.2013,26.08.2013,27.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00?z,,00ZT,00J8,?,      3116,006?,000x,0003,????,????,????,002H,0002,?-622,20.08.2013,26.08.2013,27.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00??,,000l,00J8,?,      3117,006?,000x,0003,????,????,????,002H,0002,?-622,20.08.2013,26.08.2013,27.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00??,,00HR,00J8,?,      3118,006?,000x,0003,????,????,????,002H,0002,?-622,20.08.2013,26.08.2013,27.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00??,,00fq,00J6,,      9108,007?,001D,0001,??????,????,????,003F,000Q,?-624,21.08.2013,01.08.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00Sz,00JD,?,      3119,006z,0011,0003,????,????,????,001k,0003,?-594,09.08.2013,12.08.2013,12.09.2013,,,,,,,,,,,0009,?-668,04.09.2013,
00??,,00ZH,00IZ,?,      3121,004h,001?,0003,????,????,????,002I,0002,?-628,22.08.2013,26.08.2013,25.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00??,,006k,00Ib,?,      3122,005a,000g,0003,????,????,????,001B,0001,?-628,22.08.2013,01.08.2013,25.08.2013,,,,,,,,,,,0009,?-633,23.08.2013,
00??,,00M0,00IY,?,      3123,006T,000L,0003,????,????,????,001B,0001,?-628,22.08.2013,19.08.2013,06.09.2013,,,,,,,,,,,0009,?-668,04.09.2013,
00??,,0043,00IY,?,      3124,006T,000L,0003,????,????,????,001B,0001,?-628,22.08.2013,19.08.2013,06.09.2013,,,,,,,,,,,0009,?-668,04.09.2013,
00??,,00AI,00c?,?,      3125,006?,0010,0003,????,????,????,0029,0002,?-643,26.08.2013,01.09.2013,31.10.2013,,,,,,,,,,,0009,?-799,28.10.2013,
00??,,00f5,00IY,?,      3126,006V,000L,0003,????,????,????,002D,0002,?-643,26.08.2013,04.09.2013,18.09.2013,,,,,,,,,,,0009,?-668,04.09.2013,
00??,,00Fw,00Gk,?,      3127,007B,0017,0003,????,????,????,002D,0002,?-643,26.08.2013,22.08.2013,02.09.2013,,,,,,,,,,,0009,?-668,04.09.2013,
00??,,00Ca,00Gk,?,      3128,007B,0017,0003,????,????,????,002D,0002,?-643,26.08.2013,22.08.2013,02.09.2013,,,,,,,,,,,0009,?-668,04.09.2013,
00??,,00fr,00JC,,      9109,00A?,000v,0005,??????,????,????,005k,0001,?-644,26.08.2013,26.08.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00e?,00Jh,?,      3129,006B,000n,0003,????,????,????,001o,0003,?-647,27.08.2013,03.09.2013,28.02.2014,,,,,,,,,,,0009,?-115,21.02.2014,
00??,,009F,00IZ,?,      3130,004h,001?,0003,????,????,????,002I,0002,?-647,27.08.2013,26.08.2013,01.10.2013,,,,,,,,,,,0009,?-738,01.10.2013,
00??,,00Ys,00w?,,      9110,0065,000h,0005,??????,????,????,002A,0002,?-653,28.08.2013,02.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,004P,00Gk,,      9111,007B,0017,0001,??????,????,????,002D,0002,?-654,29.08.2013,01.09.2013,30.09.2013,,,,,,,,,,,0009,?-736,30.09.2013,
00??,,00fs,00Gj,,      9112,000?,000i,0005,??????,????,????,001m,0003,?-654,29.08.2013,02.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00X?,00Gj,,      9113,005X,000i,0005,??????,????,????,001a,0003,?-656,30.09.2013,02.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00c?,00w?,?,      3131,006G,001m,0003,????,????,????,002F,0002,?-660,30.08.2013,02.09.2013,27.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00??,,00U?,00Ib,?,      3132,000?,000g,0003,????,????,????,002D,0002,?-660,30.08.2013,29.08.2013,17.09.2013,,,,,,,,,,,,,,
00??,,005b,00w?,?,      3133,009?,001m,0003,????,????,????,000o,0003,?-660,30.08.2013,02.09.2013,03.02.2014,,,,,,,,,,,0009,?-34,22.01.2014,
00??,,00fu,00ww,,      9114,00C?,002x,0005,??????,????,????,003?,0002,?-656,30.08.2013,01.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00fx,00dz,,      9115,,,0005,??????,????,????,,,,,01.08.2013,31.08.2013,,,,,,,,,,,,,,
00??,,00fz,00dz,,      9116,,,0004,??????,????,????,,,,,01.08.2013,31.08.2013,,,,,,,,,,,,,,
00??,,00WB,00Js,,      9117,0083,001?,0004,??????,????,????,003t,000Q,?-665,03.09.2013,01.09.2013,07.10.2013,,,,,,,,,,,,,,
00?0,,00bb,00Iv,,      9118,0083,001?,0004,??????,????,????,003t,000Q,?-665,03.09.2013,01.09.2013,06.10.2013,,,,,,,,,,,,,,
00?1,,00fA,00IY,?,      3134,006c,000L,0003,????,????,????,001m,0003,?-667,03.09.2013,01.09.2013,18.10.2013,,,,,,,,,,,0009,?-777,11.10.2013,
00?2,,00bF,00IY,?,      3135,006c,000L,0003,????,????,????,001m,0003,?-667,03.09.2013,01.09.2013,18.10.2013,,,,,,,,,,,0009,?-777,11.10.2013,
00?3,,00B3,00Ib,?,      3136,000?,000g,0003,????,????,????,002D,0002,?-667,03.09.2013,04.09.2013,04.10.2013,,,,,,,,,,,0009,?-738,01.10.2013,
00?4,,00eK,00Ib,?,      3137,000?,000g,0003,????,????,????,002D,0002,?-667,03.09.2013,04.09.2013,04.10.2013,,,,,,,,,,,0009,?-738,01.10.2013,
00?5,,00f?,00JB,,      9119,00CZ,002?,0005,??????,????,????,004F,0001,?-670,04.09.2013,02.09.2013,31.12.8888,,,,,,,,,,,,,,
00?6,,0077,00JM,?,      3138,008y,001?,0003,????,????,????,003m,0003,?-671,04.09.2013,02.09.2013,20.10.2013,,,,,,,,,,,0009,?-777,11.10.2013,
00?7,,00PN,00JC,?,      3139,000?,000g,0003,????,????,????,002D,0002,?-671,04.09.2013,04.09.2013,04.10.2013,,,,,,,,,,,0009,?-738,01.10.2013,
00?8,,00Fu,00Gk,?,      3140,007B,0017,0003,????,????,????,002D,0002,?-671,04.09.2013,03.09.2013,30.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00?9,,00f5,00IY,?,      3141,006W,000L,0003,????,????,????,003?,0002,?-671,04.09.2013,23.09.2013,12.11.2013,,,,,,,,,,,0009,?-833,08.11.2013,
00?A,,004T,00IY,?,      3142,006V,000L,0003,????,????,????,002D,0002,?-671,04.09.2013,16.09.2013,31.10.2013,,,,,,,,,,,0009,?-799,28.10.2013,
00?D,,00f?,00JB,,      9120,005F,001G,0005,??????,????,????,001B,0001,?-679,05.09.2013,18.08.2013,31.12.8888,,,,,,,,,,,,,,
00?E,,00f?,00JC,,      9121,00Eh,000v,0005,??????,????,????,004F,0001,?-679,05.09.2013,06.09.2013,31.12.8888,,,,,,,,,,,,,,
00?H,,00fx,00v?,,      9122,00BS,002r,0005,??????,????,????,000o,0003,?-680,06.09.2013,06.09.2013,31.12.8888,,,,,,,,,,,,,,
00?I,,00Fw,00Gk,?,      3143,007B,0017,0003,????,????,????,002D,0002,?-684,09.09.2013,03.09.2013,30.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00?L,,00U?,00Jq,?,      3146,006G,001m,0003,????,????,????,002F,0002,?-684,09.09.2013,09.09.2013,31.12.8888,,,,,,,,,,,,,,
00?M,,00f?,00J6,,      9123,007?,001D,0005,??????,????,????,003C,000Q,?-691,12.09.2013,12.09.2013,31.12.8888,,,,,,,,,,,,,,
00?P,,00f?,00Jp,,      9124,00Dx,002?,0005,??????,????,????,0045,0003,?-691,12.09.2013,16.09.2013,31.12.8888,,,,,,,,,,,,,,
00?R,,00f?,00w?,,      9125,006D,001m,0005,??????,????,????,003?,0001,?-696,16.09.2013,24.09.2013,31.12.8888,,,,,,,,,,,,,,
00?S,,00f?,00ww,,      9126,00C?,002x,0005,??????,????,????,003V,0002,?-696,16.09.2013,13.09.2013,31.12.8888,,,,,,,,,,,,,,
00?T,,00f?,00JD,,      9127,006?,0011,0005,??????,????,????,001l,0003,?-696,16.09.2013,18.09.2013,31.12.8888,,,,,,,,,,,,,,
00?U,,00f?,00Js,,      9128,0083,001?,0005,??????,????,????,003t,000Q,?-696,16.09.2013,16.09.2013,31.12.8888,,,,,,,,,,,,,,
00?V,,00a?,00IZ,?,      3147,00A?,001?,0003,????,????,????,004?,0003,?-699,16.09.2013,16.09.2013,15.10.2013,,,,,,,,,,,0009,?-786,18.10.2013,
00?W,,00I9,00c?,?,      3148,007m,000z,0003,????,????,????,0029,0002,?-699,16.09.2013,25.09.2013,31.12.8888,,,,,,,,,,,,,,
00?Z,,00eS,00JD,?,      3151,006?,0011,0003,????,????,????,001r,0003,?-699,16.09.2013,12.09.2013,23.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00?a,,00CW,00IZ,?,      3152,004h,001?,0003,????,????,????,002I,0002,?-699,16.09.2013,12.09.2013,02.01.2015,,,,,,,,,,,,,,
00?b,,009i,00IZ,?,      3153,004h,001?,0003,????,????,????,002I,0002,?-699,16.09.2013,12.09.2013,02.01.2015,,,,,,,,,,,,,,
00?c,,00I9,00c?,?,      3154,007m,000z,0003,????,????,????,0029,0002,?-699,16.09.2013,15.09.2013,24.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00?d,,00Aj,00JD,?,      3155,006t,0011,0003,????,????,????,002D,0002,?-699,16.09.2013,09.09.2013,09.10.2013,,,,,,,,,,,0009,?-762,07.10.2013,
00?e,,00Ak,00JD,?,      3156,006t,0011,0003,????,????,????,002D,0002,?-699,16.09.2013,09.09.2013,09.10.2013,,,,,,,,,,,0009,?-762,07.10.2013,
00?f,,00P?,00JD,?,      3157,006t,0011,0003,????,????,????,002D,0002,?-699,16.09.2013,09.09.2013,09.10.2013,,,,,,,,,,,0009,?-762,07.10.2013,
00?g,,00At,00JD,?,      3158,006?,0012,0003,????,????,????,002D,0002,?-699,16.09.2013,09.09.2013,09.10.2013,,,,,,,,,,,0009,?-762,07.10.2013,
00?h,,00M?,00J8,?,      3159,006?,000x,0003,????,????,????,002H,0002,?-699,16.09.2013,10.09.2013,29.10.2013,,,,,,,,,,,0009,?-799,28.10.2013,
00?i,,00Ht,00U8,?,      3160,007?,001D,0003,????,????,????,0036,000M,?-699,16.09.2013,16.09.2013,16.10.2013,,,,,,,,,,,0009,?-777,11.10.2013,
00?j,,00e3,00Js,?,      3161,0083,001?,0003,????,????,????,003t,000Q,?-699,16.09.2013,01.09.2013,30.09.2013,,,,,,,,,,,0009,?-717,24.09.2013,
00?k,,00c?,00Js,?,      3162,0083,001?,0003,????,????,????,003t,000Q,?-699,16.09.2013,01.09.2013,30.09.2013,,,,,,,,,,,0009,?-717,24.09.2013,
00?l,,00f?,00ww,,      9129,00C?,002x,0005,??????,????,????,003V,0002,?-702,17.09.2013,16.09.2013,31.12.8888,,,,,,,,,,,,,,
00?n,,00fz,00v?,,      9130,00BR,002r,0005,??????,????,????,005G,0003,?-705,19.09.2013,01.09.2013,31.12.8888,,,,,,,,,,,,,,
00?o,,00f?,00v?,,      9131,00BR,002r,0005,??????,????,????,005G,0003,?-705,19.09.2013,10.09.2013,31.12.8888,,,,,,,,,,,,,,
00?q,,00fK,00Jq,,      9132,009?,001m,0005,??????,????,????,000o,0003,?-705,19.09.2013,22.09.2013,31.12.8888,,,,,,,,,,,,,,
00?r,,00f?,00v?,,      9133,00BR,002r,0005,??????,????,????,005G,0003,?-707,20.09.2013,08.09.2013,31.12.8888,,,,,,,,,,,,,,
00?s,,00f?,00v?,,      9134,00BR,002r,0005,??????,????,????,005G,0003,?-707,20.09.2013,04.09.2013,31.12.8888,,,,,,,,,,,,,,
00?t,,00f?,00v?,,      9135,00BR,002r,0005,??????,????,????,005G,0003,?-707,20.09.2013,01.09.2013,31.12.8888,,,,,,,,,,,,,,
00?w,,00f?,00c?,,      9136,008?,001?,0005,??????,????,????,001Y,0003,?-707,20.09.2013,01.10.2013,31.12.8888,,,,,,,,,,,,,,
00?y,,00f?,00wt,,      9137,00B3,002m,0005,??????,????,????,004W,000N,?-707,20.09.2013,13.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,008w,00Ia,?,      3164,008T,001?,0003,????,????,????,0019,0001,?-711,20.09.2013,17.09.2013,11.10.2013,,,,,,,,,,,0009,?-762,07.10.2013,
00??,,008M,00c?,?,      3165,005G,001y,0003,????,????,????,001w,0002,?-711,20.09.2013,17.09.2013,03.03.2014,,,,,,,,,,,0009,?-143,04.03.2014,
00??,,007d,00c?,?,      3166,005G,001y,0003,????,????,????,001w,0002,?-711,20.09.2013,17.09.2013,03.03.2014,,,,,,,,,,,0009,?-143,04.03.2014,
00??,,00Q?,00X1,?,      3167,007V,001u,0003,????,????,????,004F,0001,?-711,20.09.2013,17.09.2013,01.12.2013,,,,,,,,,,,0009,?-928,24.12.2013,
00??,,00f?,00v?,,      9138,00BR,002r,0005,??????,????,????,005G,0003,?-713,23.09.2013,01.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00AL,00c?,?,      3168,006?,0010,0003,????,????,????,0029,0002,?-711,20.09.2013,13.09.2013,31.10.2013,,,,,,,,,,,0009,?-810,31.10.2013,
00??,,008E,00Gj,?,      3169,005F,001G,0003,????,????,????,001B,0001,?-719,25.09.2013,19.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,007M,00Ib,?,      3170,005j,000g,0003,????,????,????,001k,0003,?-719,25.09.2013,14.09.2013,26.09.2013,,,,,,,,,,,0009,?-786,18.10.2013,
00??,,00R6,00IZ,?,      3171,004h,001?,0003,????,????,????,002I,0002,?-719,25.09.2013,16.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00QK,00w?,?,      3172,005?,000j,0003,????,????,????,002D,0002,?-719,25.09.2013,09.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00Tp,00IY,?,      3173,0085,000L,0003,????,????,????,001a,0003,?-719,25.09.2013,23.09.2013,01.11.2013,,,,,,,,,,,0009,?-810,31.10.2013,
00??,,00fp,00JC,?,      3174,0076,000v,0003,????,????,????,001B,0001,?-719,25.09.2013,01.10.2013,14.02.2014,,,,,,,,,,,0009,?-74,04.02.2014,
00??,,00V?,00IZ,?,      3144,00A?,001?,0003,????,????,????,004?,0003,?-684,09.09.2013,02.09.2013,19.10.2013,,,,,,,,,,,0009,?-802,28.10.2013,
00??,,00dm,00IZ,?,      3175,004h,001?,0003,????,????,????,002I,0002,?-726,26.09.2013,11.10.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00cq,00Jw,?,      3176,007Q,002V,0003,????,????,????,001h,0003,?-726,26.09.2013,25.09.2013,20.01.2014,,,,,,,,,,,0009,?-82,07.02.2014,
00??,,0043,00IY,?,      3145,006T,000L,0003,????,????,????,001B,0001,?-684,09.09.2013,09.09.2013,27.09.2013,,,,,,,,,,,0009,?-704,19.09.2013,
00??,,00f?,00JC,,      9139,00B6,002E,0005,??????,????,????,0025,0002,?-737,30.09.2013,01.10.2013,28.10.2013,,,,,,,,,,,0009,?-798,25.10.2013,
00??,,00f?,00w?,,      9140,006G,001m,0005,??????,????,????,002F,0002,?-737,30.09.2013,01.10.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00bd,00ty,?,      3177,00AZ,002e,0003,????,????,????,002h,000N,?-740,01.10.2013,12.09.2013,25.12.2013,,,,,,,,,,,,,,
00??,,00E5,00J6,?,      3178,007?,001D,0003,????,????,????,003G,000Q,?-740,01.10.2013,23.09.2013,28.10.2013,,,,,,,,,,,0009,?-790,22.10.2013,
00??,,00f?,00v?,,      9141,00BR,002r,0005,??????,????,????,005G,0003,?-744,01.10.2013,09.09.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00f?,00U8,,      9142,00B7,001D,0005,??????,????,????,0034,000M,?-745,02.10.2013,02.10.2013,18.02.2014,,,,,,,,,,,0009,?-105,18.02.2014,
00??,,004A,00c?,?,      3179,005G,001y,0003,????,????,????,001w,0002,?-749,02.10.2013,01.10.2013,28.02.2014,,,,,,,,,,,0009,?-143,04.03.2014,
00??,,00XP,00ty,?,      3180,00AZ,002e,0003,????,????,????,002h,000N,?-749,02.10.2013,12.09.2013,25.12.2013,,,,,,,,,,,0009,?-928,24.12.2013,
00??,,00Kk,00aJ,?,      3181,008o,001G,0003,????,????,????,001u,0002,?-749,02.10.2013,01.09.2013,17.09.2013,,,,,,,,,,,,,,
00??,,00AM,00c?,?,      3182,006?,0010,0003,????,????,????,0029,0002,?-749,02.10.2013,01.10.2013,31.10.2013,,,,,,,,,,,0009,?-799,28.10.2013,
00??,,00fu,00w?,?,      3183,005?,000j,0003,????,????,????,002D,0002,?-749,02.10.2013,01.10.2013,20.11.2013,,,,,,,,,,,0009,?-39,23.01.2014,
00??,,00e?,00w?,?,      3184,005?,000j,0003,????,????,????,001k,0003,?-749,02.10.2013,06.09.2013,03.10.2013,,,,,,,,,,,0009,?-828,07.11.2013,
00??,,00Vi,00w?,?,      3185,005?,000j,0003,????,????,????,001k,0003,?-749,02.10.2013,06.09.2013,03.10.2013,,,,,,,,,,,0009,?-828,07.11.2013,
00??,,00P?,00JD,?,      3186,006t,0011,0003,????,????,????,002D,0002,?-749,02.10.2013,02.10.2013,31.12.8888,,,,,,,,,,,,,,
00??,,0090,00JD,?,      3187,006t,0011,0003,????,????,????,002D,0002,?-749,02.10.2013,02.10.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00f?,00U8,,      9143,00B8,002p,0005,??????,????,????,005s,000O,?-745,02.10.2013,03.10.2013,31.12.8888,,,,,,,,,,,,,,
00??,,00f?,00Gj,,      9144,005O,000i,0004,??????,????,????,002D,0002,?-759,04.10.2013,07.10.2013,19.02.2014,,,,,,,,,,,0009,?-89,10.02.2014,
00??,,00aN,00X1,?,      3188,007a,001u,0003,????,????,????,001o,0003,?-755,03.10.2013,01.10.2013,26.10.2013,,,,,,,,,,,0009,?-790,22.10.2013,
00?0,,00CV,00X1,?,      3189,007Z,001u,0003,????,????,????,002A,0002,?-755,03.10.2013,01.10.2013,27.10.2013,,,,,,,,,,,0009,?-790,22.10.2013,
00?1,,004k,00X1,?,      3190,004J,001u,0003,????,????,????,002B,0002,?-755,03.10.2013,01.10.2013,29.10.2013,,,,,,,,,,,0009,?-799,28.10.2013,
00?2,,00U?,00Ib,?,      3191,005d,000g,0003,????,????,????,002B,0002,?-755,03.10.2013,01.10.2013,31.10.2013,,,,,,,,,,,0009,?-799,28.10.2013,
00?3,,00f?,00JI,,      9145,006?,0012,0005,??????,????,????,001m,0003,?-766,07.10.2013,07.10.2013,31.12.8888,,,,,,,,,,,,,,
00?4,,00f?,00w?,,      9146,005?,000j,0005,??????,????,????,002D,0002,?-768,08.10.2013,14.10.2013,17.02.2014,,,,,,,,,,,0009,?-102,17.02.2014,
00?5,,00f?,00Gk,,      9147,007D,0017,0005,??????,????,????,001k,0003,?-770,09.10.2013,10.10.2013,31.12.8888,,,,,,,,,,,,,,
00?6,,00f?,00JI,,      9148,006?,0012,0005,??????,????,????,001m,0003,?-771,10.10.2013,11.10.2013,31.12.8888,,,,,,,,,,,,,,
00?7,,00f?,00Jw,,      9149,00Dr,002?,0005,??????,????,????,004F,0001,?-776,11.10.2013,14.10.2013,31.12.8888,,,,,,,,,,,,,,
00?9,,00M0,00IY,?,      3192,006T,000L,0003,????,????,????,001B,0001,?-781,15.10.2013,14.10.2013,27.10.2013,,,,,,,,,,,0009,?-790,22.10.2013,
00?A,,00bP,00J6,?,      3193,007?,001D,0003,????,????,????,003K,000Q,?-782,16.10.2013,13.10.2013,31.10.2013,,,,,,,,,,,0009,?-828,07.11.2013,
00?B,,00Jk,00J9,?,      3194,007?,001D,0003,????,????,????,003K,000Q,?-782,16.10.2013,13.10.2013,13.11.2013,,,,,,,,,,,0009,?-849,14.11.2013,
00?C,,00a?,00cN,?,      3195,009n,002F,0003,????,????,????,001F,0001,?-785,17.10.2013,14.10.2013,27.10.2013,,,,,,,,,,,0009,?-790,22.10.2013,
00?D,,00Wm,00J6,?,      3196,007?,001D,0003,????,????,????,003K,000Q,?-785,17.10.2013,12.10.2013,23.10.2013,,,,,,,,,,,0009,?-828,07.11.2013,
00?E,,00Oe,00J6,?,      3197,007?,001D,0003,????,????,????,003K,000Q,?-785,17.10.2013,11.10.2013,23.10.2013,,,,,,,,,,,0009,?-828,07.11.2013,
00?F,,00f?,00v?,,      9150,00D?,002?,0005,??????,????,????,0045,0003,?-787,21.10.2013,21.10.2013,31.12.8888,,,,,,,,,,,,,,
00?H,,00g1,00J9,,      9152,00BF,002p,0005,??????,????,????,005t,000N,?-787,21.10.2013,21.10.2013,31.12.8888,,,,,,,,,,,,,,
00?I,,00f?,00Iw,,      9153,00BI,002p,0005,??????,????,????,005u,000N,?-787,21.10.2013,21.10.2013,18.12.2013,,,,,,,,,,,0009,?-909,17.12.2013,
00?J,,00de,00Gi,,      9154,0060,000P,0005,??????,????,????,001k,0003,?-791,22.10.2013,23.10.2013,31.12.8888,,,,,,,,,,,,,,
00?K,,00d?,00J6,?,      3198,007?,001D,0003,????,????,????,0039,000R,?-794,23.10.2013,01.11.2013,17.11.2013,,,,,,,,,,,0009,?-833,08.11.2013,
00?L,,007M,00Ib,?,      3199,005j,000g,0003,????,????,????,001k,0003,?-794,23.10.2013,14.10.2013,02.11.2013,,,,,,,,,,,0009,?-799,28.10.2013,
00?N,,00cz,00Ib,?,      3201,000?,000g,0003,????,????,????,002D,0002,?-794,23.10.2013,05.10.2013,31.10.2013,,,,,,,,,,,0009,?-799,28.10.2013,
00?O,,00g2,00J9,,      9155,00BO,002p,0005,??????,????,????,005?,000L,?-797,24.10.2013,25.10.2013,31.12.8888,,,,,,,,,,,,,,
00?P,,00P?,00JD,?,      3202,006t,0011,0003,????,????,????,002D,0002,?-795,24.10.2013,21.10.2013,22.11.2013,,,,,,,,,,,0009,?-868,21.11.2013,
00?Q,,00Ai,00JD,?,      3203,006t,0011,0003,????,????,????,002D,0002,?-795,24.10.2013,21.10.2013,22.11.2013,,,,,,,,,,,0009,?-868,21.11.2013,
00?R,,00Aj,00JD,?,      3204,006t,0011,0003,????,????,????,002D,0002,?-795,24.10.2013,21.10.2013,22.11.2013,,,,,,,,,,,0009,?-868,21.11.2013,
00?S,,0073,00Ib,?,      3205,000?,000g,0003,????,????,????,002D,0002,?-795,24.10.2013,01.11.2013,21.11.2013,,,,,,,,,,,0009,?-868,21.11.2013,
00?T,,00M0,00IY,?,      3206,006T,000L,0003,????,????,????,001B,0001,?-795,24.10.2013,28.10.2013,30.12.2013,,,,,,,,,,,0009,?-928,24.12.2013,
00?U,,0043,00IY,?,      3207,006T,000L,0003,????,????,????,001B,0001,?-795,24.10.2013,28.10.2013,30.12.2013,,,,,,,,,,,0009,?-928,24.12.2013,
00?W,,00PN,00JC,?,      3209,000?,000g,0003,????,????,????,002D,0002,?-795,24.10.2013,01.11.2013,21.11.2013,,,,,,,,,,,0009,?-868,21.11.2013,
00?X,,00g4,00IZ,,      9156,008J,001?,0004,??????,????,????,003?,000V,?-800,28.10.2013,01.11.2013,31.12.8888,,,,,,,,,,,,,,
00?Y,,00g5,00IY,,      9157,0085,000L,0005,??????,????,????,001a,0003,?-803,29.10.2013,01.11.2013,31.12.8888,,,,,,,,,,,,,,
00?Z,,00cn,00IZ,?,      3210,004h,001?,0003,????,????,????,002I,0002,?-806,29.10.2013,24.10.2013,31.12.8888,,,,,,,,,,,,,,
00?a,,00Id,00IZ,?,      3211,004h,001?,0003,????,????,????,002I,0002,?-806,29.10.2013,24.10.2013,04.12.2013,,,,,,,,,,,0009,?-902,12.12.2013,
00?b,,00g4,00IZ,?,      3212,008J,001?,0003,????,????,????,003?,000V,?-806,29.10.2013,01.11.2013,31.12.8888,,,,,,,,,,,,,,
00?c,,00g6,00IZ,,      9158,00A?,001?,0005,??????,????,????,004?,0003,?-813,31.10.2013,01.11.2013,31.12.8888,,,,,,,,,,,,,,
00?e,,00f?,00JI,?,      3214,006?,0012,0003,????,????,????,001m,0003,?-812,31.10.2013,01.11.2013,31.12.8888,,,,,,,,,,,,,,
00?f,,00cX,00Iq,?,      3215,00BU,002f,0003,????,????,????,005H,000R,?-812,31.10.2013,28.10.2013,09.01.2014,,,,,,,,,,,0009,?-23,20.01.2014,
00?h,,00g7,00w?,,      9159,0067,000h,0005,??????,????,????,001o,0003,?-814,01.11.2013,01.11.2013,31.12.8888,,,,,,,,,,,,,,
00?i,,00g8,00Iv,,      9160,0082,001?,0005,??????,????,????,003R,000R,?-814,01.11.2013,05.11.2013,31.12.8888,,,,,,,,,,,,,,
00?j,,00g9,00U8,,      9161,007?,001D,0005,??????,????,????,0033,000M,?-814,01.11.2013,01.11.2013,31.12.8888,,,,,,,,,,,,,,
00?k,,00gA,00U8,,      9162,007?,001D,0005,??????,????,????,0033,000M,?-814,01.11.2013,01.11.2013,07.03.2014,,,,,,,,,,,0009,?-154,07.03.2014,
00?l,,00cz,00Ib,?,      3217,000?,000g,0003,????,????,????,002D,0002,?-795,24.10.2013,05.11.2013,31.12.8888,,,,,,,,,,,,,,
00?m,,00Y?,00Gk,,      9163,00FZ,0017,0005,??????,????,????,003C,0003,?-818,05.11.2013,11.11.2013,31.12.8888,,,,,,,,,,,,,,
00?n,,00f?,00Gj,?,      3218,005O,000i,0003,????,????,????,002D,0002,?-821,05.11.2013,01.11.2013,19.02.2014,,,,,,,,,,,0009,?-84,07.02.2014,
00?p,,00g7,00w?,?,      3219,0067,000h,0003,????,????,????,001o,0003,?-824,06.11.2013,01.11.2013,01.12.2013,,,,,,,,,,,0009,?-904,13.12.2013,
00?q,,00eX,00IY,?,      3220,006b,000L,0003,????,????,????,001k,0003,?-824,06.11.2013,01.11.2013,19.11.2013,,,,,,,,,,,0009,?-902,12.12.2013,
00?r,,00g6,00IZ,?,      3221,00A?,001?,0003,????,????,????,004?,0003,?-824,06.11.2013,01.11.2013,01.12.2013,,,,,,,,,,,0009,?-911,18.12.2013,
00?s,,00AL,00c?,?,      3222,006?,001?,0003,????,????,????,002G,0002,?-824,06.11.2013,01.11.2013,31.12.8888,,,,,,,,,,,,,,
00?t,,00AM,00c?,?,      3223,006?,001?,0003,????,????,????,002G,0002,?-824,06.11.2013,01.11.2013,31.12.8888,,,,,,,,,,,,,,
