"POSTCH_RN,C,4","POSTBS_RN,C,4","CHSTARTDAT,D","CHENDDATE,D","ISSTAFF,L","SOSTZAT_RN,C,4","GRRBDC_RN,C,4","STQNT,N,6,3","WORKTIMECA,C,1","FZPCALC,C,1","RANKMIN,N,4,0","RANKMAX,N,4,0","WRKRANK_RN,C,4","CHNOMINATI,M","CHGENITIVE,M","CHDATIVE,M","CHACCUSATI,M","CHABLATIVE,M","CHPREPOSIT,M","CHSNOMINAT,C,240","CHSGENITIV,C,240","CHSDATIVE,C,240","CHSACCUSAT,C,240","CHSABLATIV,C,240","CHSPREPOSI,C,240","SPECPOST,C,80","SPECDBL,C,80","ADDSOLPFR,C,1","DOC_RN,C,4","DOC_NUM,C,10","DOC_DATE,D","DOCORG_RN,C,4"
006t,006t,01.11.1945,31.12.8888,??????,,,9,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006u,006u,01.11.1945,31.12.8888,??????,,,4,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006w,006w,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
006x,006x,01.11.1945,31.12.8888,??????,,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
006y,006y,01.11.1945,31.12.2013,??????,,,"0,75",?,?,2,3,,,,,,,,,,,,,,,,,,,,
006z,006z,01.11.1945,31.12.8888,??????,,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,5,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,"1,25",?,?,2,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,"1,75",?,?,2,3,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,5,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,3,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,6,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,2,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,7,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,4,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,7,?,?,11,16,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.2012,????,,,"3,5",?,?,11,17,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,16.02.2014,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,"13,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,0006,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.2013,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,5,?,?,2,4,,,,,,,,,,,,,,,,,,,,
